model,task_id,family_id,label,mean_rating,mean_chars,self_bleu,mean_nll,rn_margin,p3_N
qwen,F07_A,F07,ambiguous,5.0,1732.0,0.8260903461148409,0.41135841608047485,,0.012776968946717085
qwen,F07_N,F07,nonroutine,5.0,1548.6666666666667,0.740017651430695,0.40390734871228534,-0.6130985558147904,0.014335370043701258
qwen,F07_R,F07,routine,5.0,1276.3333333333333,0.792317040987819,0.44133156538009644,-3.120256433275607,0.0026832927987430976
qwen,F08_A,F08,ambiguous,5.0,1225.0,0.6235456445665705,0.5685401558876038,,0.9832847128320347
qwen,F08_N,F08,nonroutine,5.0,1838.3333333333333,0.7326079963595852,0.5011453429857889,1.920495424137817,0.8993377774379384
qwen,F08_R,F08,routine,5.0,1430.3333333333333,0.8011817313226008,0.41677435239156085,-1.2157328710956334,0.05952367242855335
qwen,F09_A,F09,ambiguous,3.0,182.33333333333334,0.8669108669108668,0.3816622893015544,,0.07410613915364062
qwen,F09_N,F09,nonroutine,5.0,1360.3333333333333,0.6648354046364149,0.4384825825691223,5.268443531240351,0.9918812829702736
qwen,F09_R,F09,routine,3.0,213.66666666666666,0.8347423510466988,0.11843180904785792,-3.109931074704244,0.011216876437548493
qwen,F10_A,F10,ambiguous,5.0,2092.6666666666665,0.7679797042234598,0.34787752230962116,,0.9047631311395663
qwen,F10_N,F10,nonroutine,4.333333333333333,1566.3333333333333,0.73441326528086,0.426891952753067,2.510607733127944,0.19264667352993223
qwen,F10_R,F10,routine,3.0,1098.0,0.9286221984112286,0.18291553358236948,-3.641196889873632,0.011104392696973124
qwen,F11_A,F11,ambiguous,5.0,1179.6666666666667,0.8493825241125185,0.30010850230852765,,0.3684690164547863
qwen,F11_N,F11,nonroutine,5.0,1630.3333333333333,0.8282271546088021,0.30299901962280273,1.4233906036362323,0.08675795351029349
qwen,F11_R,F11,routine,5.0,1992.0,0.845017875953395,0.2914477189381917,-5.634344940011236,2.1753417203590573e-05
qwen,F12_A,F12,ambiguous,5.0,2381.0,0.7952101443164917,0.2990703086058299,,0.9591069645166487
qwen,F12_N,F12,nonroutine,5.0,2468.6666666666665,0.8146826412917089,0.3517487744490306,6.051333399219911,0.9554487915408175
qwen,F12_R,F12,routine,5.0,1662.6666666666667,0.8085165119647878,0.2798513074715932,-0.5505327351617638,0.018868674007360767
qwen,F13_A,F13,ambiguous,5.0,2562.6666666666665,0.8339226524588712,0.43315352002779645,,0.005572769932942495
qwen,F13_N,F13,nonroutine,5.0,2661.6666666666665,0.7954882054354196,0.39366626739501953,3.968393169325416,0.20450324143231127
qwen,F13_R,F13,routine,4.0,2423.3333333333335,0.8524313705386731,0.3751761118570964,-3.772854991148625,0.0027819338981630707
qwen,F14_A,F14,ambiguous,5.0,2776.6666666666665,0.7522033709152548,0.37508750955263775,,0.2667994463377872
